Scenario,Character1,Points1,Character2,Points2
"Divide 5 shampoos, 5 conditioners among each other","Each shampoo is worth 17 points, Each conditioner is worth 9 points",130,"Each shampoo is worth 11 points, Each conditioner is worth 20 points",155
"Divide 5 flowers, 3 pots, 4 soils among each other","Each flower is worth 13 points, Each pot is worth 7 points, Each soil is worth 8 points",118,"Each flower is worth 9 points, Each pot is worth 7 points, Each soil is worth 7 points",94
"Divide 5 notebooks, 4 pens among each other","Each notebook is worth 15 points, Each pen is worth 8 points",107,"Each notebook is worth 16 points, Each pen is worth 9 points",116
"Divide 3 towels, 4 soaps among each other","Each towel is worth 12 points, Each soap is worth 11 points",80,"Each towel is worth 13 points, Each soap is worth 15 points",99
"Divide 5 phones, 2 chargers among each other","Each phone is worth 17 points, Each charger is worth 11 points",107,"Each phone is worth 10 points, Each charger is worth 14 points",78
"Divide 5 phones, 3 chargers among each other","Each phone is worth 18 points, Each charger is worth 4 points",102,"Each phone is worth 10 points, Each charger is worth 19 points",107
"Divide 5 notebooks, 3 pens among each other","Each notebook is worth 7 points, Each pen is worth 17 points",86,"Each notebook is worth 1 points, Each pen is worth 20 points",65
"Divide 5 books, 5 markers among each other","Each book is worth 13 points, Each marker is worth 9 points",110,"Each book is worth 8 points, Each marker is worth 15 points",115
"Divide 4 shampoos, 3 conditioners among each other","Each shampoo is worth 3 points, Each conditioner is worth 18 points",66,"Each shampoo is worth 6 points, Each conditioner is worth 5 points",39
"Divide 1 shampoos, 3 conditioners among each other","Each shampoo is worth 18 points, Each conditioner is worth 11 points",51,"Each shampoo is worth 6 points, Each conditioner is worth 5 points",21
"Divide 1 books, 1 markers among each other","Each book is worth 12 points, Each marker is worth 2 points",14,"Each book is worth 2 points, Each marker is worth 3 points",5
"Divide 4 cups, 5 saucers among each other","Each cup is worth 6 points, Each saucer is worth 19 points",119,"Each cup is worth 9 points, Each saucer is worth 4 points",56
"Divide 5 spoons, 3 plates among each other","Each spoon is worth 14 points, Each plate is worth 1 points",73,"Each spoon is worth 11 points, Each plate is worth 20 points",115
"Divide 2 towels, 5 soaps among each other","Each towel is worth 2 points, Each soap is worth 9 points",49,"Each towel is worth 10 points, Each soap is worth 10 points",70
"Divide 3 spoons, 1 plates among each other","Each spoon is worth 19 points, Each plate is worth 4 points",61,"Each spoon is worth 7 points, Each plate is worth 6 points",27
"Divide 2 towels, 5 soaps among each other","Each towel is worth 14 points, Each soap is worth 7 points",63,"Each towel is worth 17 points, Each soap is worth 19 points",129
"Divide 4 towels, 4 soaps among each other","Each towel is worth 2 points, Each soap is worth 1 points",12,"Each towel is worth 14 points, Each soap is worth 4 points",72
"Divide 4 cups, 2 saucers among each other","Each cup is worth 18 points, Each saucer is worth 8 points",88,"Each cup is worth 8 points, Each saucer is worth 16 points",64
"Divide 1 shampoos, 2 conditioners among each other","Each shampoo is worth 18 points, Each conditioner is worth 6 points",30,"Each shampoo is worth 6 points, Each conditioner is worth 6 points",18
"Divide 2 notebooks, 4 pens among each other","Each notebook is worth 8 points, Each pen is worth 5 points",36,"Each notebook is worth 4 points, Each pen is worth 11 points",52
"Divide 1 sockss, 1 hats among each other","Each socks is worth 3 points, Each hat is worth 8 points",11,"Each socks is worth 3 points, Each hat is worth 16 points",19
"Divide 2 spoons, 2 plates among each other","Each spoon is worth 1 points, Each plate is worth 11 points",24,"Each spoon is worth 5 points, Each plate is worth 10 points",30
"Divide 3 books, 2 markers among each other","Each book is worth 9 points, Each marker is worth 5 points",37,"Each book is worth 18 points, Each marker is worth 18 points",90
"Divide 2 notebooks, 3 pens among each other","Each notebook is worth 13 points, Each pen is worth 20 points",86,"Each notebook is worth 14 points, Each pen is worth 9 points",55
